ref-video,dis-video,dmos-gt,resolution
ref/BQMall_832x480_ref,dis/BQMall_832x480_dst_01,77.03659589,832x480
ref/BQMall_832x480_ref,dis/BQMall_832x480_dst_02,46.05828638,832x480
ref/BQMall_832x480_ref,dis/BQMall_832x480_dst_03,16.98977584,832x480
ref/BQMall_832x480_ref,dis/BQMall_832x480_dst_04,47.87233568,832x480
ref/BQMall_832x480_ref,dis/BQMall_832x480_dst_05,59.52295226,832x480
ref/BQMall_832x480_ref,dis/BQMall_832x480_dst_06,63.53092857,832x480
ref/BQMall_832x480_ref,dis/BQMall_832x480_dst_07,23.22137353,832x480
ref/BQMall_832x480_ref,dis/BQMall_832x480_dst_08,39.18686526,832x480
ref/BQMall_832x480_ref,dis/BQMall_832x480_dst_09,64.10516994,832x480
ref/BQMall_832x480_ref,dis/BQMall_832x480_dst_10,27.95086987,832x480
ref/BQMall_832x480_ref,dis/BQMall_832x480_dst_11,43.10871603,832x480
ref/BQMall_832x480_ref,dis/BQMall_832x480_dst_12,56.94803765,832x480
ref/BQMall_832x480_ref,dis/BQMall_832x480_dst_13,66.23185483,832x480
ref/BQMall_832x480_ref,dis/BQMall_832x480_dst_14,53.04012751,832x480
ref/BQMall_832x480_ref,dis/BQMall_832x480_dst_15,41.83434535,832x480
ref/BQMall_832x480_ref,dis/BQMall_832x480_dst_16,17.23781535,832x480
ref/BQMall_832x480_ref,dis/BQMall_832x480_dst_17,38.26370489,832x480
ref/BQMall_832x480_ref,dis/BQMall_832x480_dst_18,74.93389035,832x480
ref/BQTerrace_832x480_ref,dis/BQTerrace_832x480_dst_01,74.33437005,832x480
ref/BQTerrace_832x480_ref,dis/BQTerrace_832x480_dst_02,36.15574099,832x480
ref/BQTerrace_832x480_ref,dis/BQTerrace_832x480_dst_03,19.07448461,832x480
ref/BQTerrace_832x480_ref,dis/BQTerrace_832x480_dst_04,47.30351665,832x480
ref/BQTerrace_832x480_ref,dis/BQTerrace_832x480_dst_05,62.72479257,832x480
ref/BQTerrace_832x480_ref,dis/BQTerrace_832x480_dst_06,72.88094169,832x480
ref/BQTerrace_832x480_ref,dis/BQTerrace_832x480_dst_07,30.91529469,832x480
ref/BQTerrace_832x480_ref,dis/BQTerrace_832x480_dst_08,51.81943375,832x480
ref/BQTerrace_832x480_ref,dis/BQTerrace_832x480_dst_09,66.48359975,832x480
ref/BQTerrace_832x480_ref,dis/BQTerrace_832x480_dst_10,34.40822221,832x480
ref/BQTerrace_832x480_ref,dis/BQTerrace_832x480_dst_11,50.08198352,832x480
ref/BQTerrace_832x480_ref,dis/BQTerrace_832x480_dst_12,60.68369663,832x480
ref/BQTerrace_832x480_ref,dis/BQTerrace_832x480_dst_13,70.89327619,832x480
ref/BQTerrace_832x480_ref,dis/BQTerrace_832x480_dst_14,58.08476845,832x480
ref/BQTerrace_832x480_ref,dis/BQTerrace_832x480_dst_15,46.97396136,832x480
ref/BQTerrace_832x480_ref,dis/BQTerrace_832x480_dst_16,14.48228099,832x480
ref/BQTerrace_832x480_ref,dis/BQTerrace_832x480_dst_17,41.61453858,832x480
ref/BQTerrace_832x480_ref,dis/BQTerrace_832x480_dst_18,72.40638794,832x480
ref/BasketballDrive_832x480_ref,dis/BasketballDrive_832x480_dst_01,70.60577747,832x480
ref/BasketballDrive_832x480_ref,dis/BasketballDrive_832x480_dst_02,50.94476997,832x480
ref/BasketballDrive_832x480_ref,dis/BasketballDrive_832x480_dst_03,21.83559842,832x480
ref/BasketballDrive_832x480_ref,dis/BasketballDrive_832x480_dst_04,43.62532077,832x480
ref/BasketballDrive_832x480_ref,dis/BasketballDrive_832x480_dst_05,53.88891454,832x480
ref/BasketballDrive_832x480_ref,dis/BasketballDrive_832x480_dst_06,68.49752895,832x480
ref/BasketballDrive_832x480_ref,dis/BasketballDrive_832x480_dst_07,27.23487322,832x480
ref/BasketballDrive_832x480_ref,dis/BasketballDrive_832x480_dst_08,44.89801346,832x480
ref/BasketballDrive_832x480_ref,dis/BasketballDrive_832x480_dst_09,57.64004442,832x480
ref/BasketballDrive_832x480_ref,dis/BasketballDrive_832x480_dst_10,23.41833438,832x480
ref/BasketballDrive_832x480_ref,dis/BasketballDrive_832x480_dst_11,50.18519535,832x480
ref/BasketballDrive_832x480_ref,dis/BasketballDrive_832x480_dst_12,58.36419382,832x480
ref/BasketballDrive_832x480_ref,dis/BasketballDrive_832x480_dst_13,65.78999421,832x480
ref/BasketballDrive_832x480_ref,dis/BasketballDrive_832x480_dst_14,53.5645593,832x480
ref/BasketballDrive_832x480_ref,dis/BasketballDrive_832x480_dst_15,37.6104527,832x480
ref/BasketballDrive_832x480_ref,dis/BasketballDrive_832x480_dst_16,19.73899899,832x480
ref/BasketballDrive_832x480_ref,dis/BasketballDrive_832x480_dst_17,50.35526658,832x480
ref/BasketballDrive_832x480_ref,dis/BasketballDrive_832x480_dst_18,69.59854381,832x480
ref/Cactus_832x480_ref,dis/Cactus_832x480_dst_01,62.87918978,832x480
ref/Cactus_832x480_ref,dis/Cactus_832x480_dst_02,33.85061428,832x480
ref/Cactus_832x480_ref,dis/Cactus_832x480_dst_03,14.92923679,832x480
ref/Cactus_832x480_ref,dis/Cactus_832x480_dst_04,35.11641687,832x480
ref/Cactus_832x480_ref,dis/Cactus_832x480_dst_05,52.498294200000004,832x480
ref/Cactus_832x480_ref,dis/Cactus_832x480_dst_06,66.25458562,832x480
ref/Cactus_832x480_ref,dis/Cactus_832x480_dst_07,27.63248197,832x480
ref/Cactus_832x480_ref,dis/Cactus_832x480_dst_08,45.15664539,832x480
ref/Cactus_832x480_ref,dis/Cactus_832x480_dst_09,64.43225628,832x480
ref/Cactus_832x480_ref,dis/Cactus_832x480_dst_10,27.05051504,832x480
ref/Cactus_832x480_ref,dis/Cactus_832x480_dst_11,48.15232603,832x480
ref/Cactus_832x480_ref,dis/Cactus_832x480_dst_12,66.51605678,832x480
ref/Cactus_832x480_ref,dis/Cactus_832x480_dst_13,66.867476,832x480
ref/Cactus_832x480_ref,dis/Cactus_832x480_dst_14,58.2501235,832x480
ref/Cactus_832x480_ref,dis/Cactus_832x480_dst_15,40.371758,832x480
ref/Cactus_832x480_ref,dis/Cactus_832x480_dst_16,16.86594618,832x480
ref/Cactus_832x480_ref,dis/Cactus_832x480_dst_17,51.11946157,832x480
ref/Cactus_832x480_ref,dis/Cactus_832x480_dst_18,73.61803456,832x480
ref/Carving_832x480_ref,dis/Carving_832x480_dst_01,80.24697721,832x480
ref/Carving_832x480_ref,dis/Carving_832x480_dst_02,51.52948607,832x480
ref/Carving_832x480_ref,dis/Carving_832x480_dst_03,27.38247179,832x480
ref/Carving_832x480_ref,dis/Carving_832x480_dst_04,41.03723316,832x480
ref/Carving_832x480_ref,dis/Carving_832x480_dst_05,52.44280478,832x480
ref/Carving_832x480_ref,dis/Carving_832x480_dst_06,64.34347279,832x480
ref/Carving_832x480_ref,dis/Carving_832x480_dst_07,34.09030457,832x480
ref/Carving_832x480_ref,dis/Carving_832x480_dst_08,52.25923635,832x480
ref/Carving_832x480_ref,dis/Carving_832x480_dst_09,67.07804333,832x480
ref/Carving_832x480_ref,dis/Carving_832x480_dst_10,33.97223008,832x480
ref/Carving_832x480_ref,dis/Carving_832x480_dst_11,54.37509447,832x480
ref/Carving_832x480_ref,dis/Carving_832x480_dst_12,63.59901217,832x480
ref/Carving_832x480_ref,dis/Carving_832x480_dst_13,68.82679581,832x480
ref/Carving_832x480_ref,dis/Carving_832x480_dst_14,55.33105232,832x480
ref/Carving_832x480_ref,dis/Carving_832x480_dst_15,44.32098298,832x480
ref/Carving_832x480_ref,dis/Carving_832x480_dst_16,15.32108178,832x480
ref/Carving_832x480_ref,dis/Carving_832x480_dst_17,43.19870312,832x480
ref/Carving_832x480_ref,dis/Carving_832x480_dst_18,70.90403793,832x480
ref/Chipmunks_832x480_ref,dis/Chipmunks_832x480_dst_01,53.17354596,832x480
ref/Chipmunks_832x480_ref,dis/Chipmunks_832x480_dst_02,34.04796718,832x480
ref/Chipmunks_832x480_ref,dis/Chipmunks_832x480_dst_03,17.78340253,832x480
ref/Chipmunks_832x480_ref,dis/Chipmunks_832x480_dst_04,37.01950616,832x480
ref/Chipmunks_832x480_ref,dis/Chipmunks_832x480_dst_05,46.51888825,832x480
ref/Chipmunks_832x480_ref,dis/Chipmunks_832x480_dst_06,60.364435,832x480
ref/Chipmunks_832x480_ref,dis/Chipmunks_832x480_dst_07,22.21005878,832x480
ref/Chipmunks_832x480_ref,dis/Chipmunks_832x480_dst_08,39.83489667,832x480
ref/Chipmunks_832x480_ref,dis/Chipmunks_832x480_dst_09,59.34890673,832x480
ref/Chipmunks_832x480_ref,dis/Chipmunks_832x480_dst_10,21.27320839,832x480
ref/Chipmunks_832x480_ref,dis/Chipmunks_832x480_dst_11,38.83293807,832x480
ref/Chipmunks_832x480_ref,dis/Chipmunks_832x480_dst_12,62.73739714,832x480
ref/Chipmunks_832x480_ref,dis/Chipmunks_832x480_dst_13,71.62032717,832x480
ref/Chipmunks_832x480_ref,dis/Chipmunks_832x480_dst_14,62.67867706,832x480
ref/Chipmunks_832x480_ref,dis/Chipmunks_832x480_dst_15,46.18218926,832x480
ref/Chipmunks_832x480_ref,dis/Chipmunks_832x480_dst_16,22.47093604,832x480
ref/Chipmunks_832x480_ref,dis/Chipmunks_832x480_dst_17,40.73906987,832x480
ref/Chipmunks_832x480_ref,dis/Chipmunks_832x480_dst_18,70.14176791,832x480
ref/Flowervase_832x480_ref,dis/Flowervase_832x480_dst_01,53.59894756,832x480
ref/Flowervase_832x480_ref,dis/Flowervase_832x480_dst_02,32.93455043,832x480
ref/Flowervase_832x480_ref,dis/Flowervase_832x480_dst_03,22.90368876,832x480
ref/Flowervase_832x480_ref,dis/Flowervase_832x480_dst_04,44.85004437,832x480
