ref-video,dis-video,dmos-gt,resolution
ref/pa1_25fps,dis/pa9_25fps,40.5551,768x432
ref/pa1_25fps,dis/pa10_25fps,52.6111,768x432
ref/pa1_25fps,dis/pa11_25fps,60.2534,768x432
ref/pa1_25fps,dis/pa12_25fps,68.7186,768x432
ref/pa1_25fps,dis/pa13_25fps,42.9784,768x432
ref/pa1_25fps,dis/pa14_25fps,51.0530,768x432
ref/pa1_25fps,dis/pa15_25fps,55.7020,768x432
ref/pa1_25fps,dis/pa16_25fps,65.6457,768x432
ref/rb1_25fps,dis/rb9_25fps,39.1978,768x432
ref/rb1_25fps,dis/rb10_25fps,43.6833,768x432
ref/rb1_25fps,dis/rb11_25fps,55.8563,768x432
ref/rb1_25fps,dis/rb12_25fps,63.5809,768x432
ref/rb1_25fps,dis/rb13_25fps,38.8828,768x432
ref/rb1_25fps,dis/rb14_25fps,45.6069,768x432
ref/rb1_25fps,dis/rb15_25fps,48.0089,768x432
ref/rb1_25fps,dis/rb16_25fps,47.5270,768x432
ref/rh1_25fps,dis/rh9_25fps,37.8713,768x432
ref/rh1_25fps,dis/rh10_25fps,45.4363,768x432
ref/rh1_25fps,dis/rh11_25fps,53.6343,768x432
ref/rh1_25fps,dis/rh12_25fps,62.9934,768x432
ref/rh1_25fps,dis/rh13_25fps,31.4716,768x432
ref/rh1_25fps,dis/rh14_25fps,42.8568,768x432
ref/rh1_25fps,dis/rh15_25fps,52.0988,768x432
ref/rh1_25fps,dis/rh16_25fps,62.2062,768x432
ref/sf1_25fps,dis/sf9_25fps,32.6002,768x432
ref/sf1_25fps,dis/sf10_25fps,44.0164,768x432
ref/sf1_25fps,dis/sf11_25fps,54.9423,768x432
ref/sf1_25fps,dis/sf12_25fps,57.1497,768x432
ref/sf1_25fps,dis/sf13_25fps,40.9999,768x432
ref/sf1_25fps,dis/sf14_25fps,44.6477,768x432
ref/sf1_25fps,dis/sf15_25fps,49.2215,768x432
ref/sf1_25fps,dis/sf16_25fps,53.7003,768x432
ref/bs1_25fps,dis/bs9_25fps,31.9421,768x432
ref/bs1_25fps,dis/bs10_25fps,36.6396,768x432
ref/bs1_25fps,dis/bs11_25fps,38.6448,768x432
ref/bs1_25fps,dis/bs12_25fps,52.1844,768x432
ref/bs1_25fps,dis/bs13_25fps,32.7252,768x432
ref/bs1_25fps,dis/bs14_25fps,43.9984,768x432
ref/bs1_25fps,dis/bs15_25fps,50.5090,768x432
ref/bs1_25fps,dis/bs16_25fps,53.4364,768x432
ref/sh1_50fps,dis/sh9_50fps,36.2440,768x432
ref/sh1_50fps,dis/sh10_50fps,40.8004,768x432
ref/sh1_50fps,dis/sh11_50fps,51.6153,768x432
ref/sh1_50fps,dis/sh12_50fps,66.3166,768x432
ref/sh1_50fps,dis/sh13_50fps,37.0212,768x432
ref/sh1_50fps,dis/sh14_50fps,44.0813,768x432
ref/mc1_50fps,dis/mc9_50fps,47.3711,768x432
ref/mc1_50fps,dis/mc10_50fps,48.7705,768x432
ref/mc1_50fps,dis/mc11_50fps,57.6788,768x432
ref/mc1_50fps,dis/mc12_50fps,67.8232,768x432
ref/mc1_50fps,dis/mc13_50fps,30.9426,768x432
ref/mc1_50fps,dis/mc14_50fps,40.5326,768x432
ref/mc1_50fps,dis/mc15_50fps,52.5435,768x432
ref/mc1_50fps,dis/mc16_50fps,64.8173,768x432
ref/pr1_50fps,dis/pr9_50fps,39.8067,768x432
ref/pr1_50fps,dis/pr10_50fps,53.7598,768x432
ref/pr1_50fps,dis/pr11_50fps,59.8921,768x432
ref/pr1_50fps,dis/pr12_50fps,77.2518,768x432
ref/pr1_50fps,dis/pr13_50fps,39.7105,768x432
ref/pr1_50fps,dis/pr14_50fps,46.8271,768x432
ref/pr1_50fps,dis/pr15_50fps,54.4239,768x432
ref/pr1_50fps,dis/pr16_50fps,61.8235,768x432
